Reginald Androcles Fileas NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (American) new Williams
Maro Emeterio Darwin NeoWilliams ::: (Japanese) myself, (Greek) he who deserves affection, (English) dear friend, (American) new Williams
Maro Yorick Philander Zoyamor ::: (Japanese) myself, (Scandinavian) a form of George, (Greek) lover of mankind, (Greek/Latin/me) lover of all living beings
Zoyamor Waterfall Gaylord ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (French) merry lord; jailer
Maro Philander Waterfall Wright ::: (Japanese) myself, (Greek) lover of mankind, (American) waterfall, (English) maker
Reginald Fileas Androcles NeoWilliams ::: (English) king's advisor, (Greek) he who loves deeply, (Greek) man covered with glory, (American) new Williams
Maro Bonito Phoenix Blackburn ::: (Japanese) myself, (Latin) worthy, (English) phoenix, (Scottish) black brook
Maro Herodes Percival Hodgson ::: (Japanese) myself, (Greek) the fire dragon, (French) pierce the valley, (English) son of Roger
Reginald Percival Emeterio Wright ::: (English) king's advisor, (French) pierce the valley, (Greek) he who deserves affection, (English) maker
Reginald Emeterio NeoWilliams Wright ::: (English) king's advisor, (Greek) he who deserves affection, (American) new Williams, (English) maker
Maro Philander Fileas Blackburn ::: (Japanese) myself, (Greek) lover of mankind, (Greek) he who loves deeply, (Scottish) black brook
Maro Waterfall Zoyamor NeoWilliams ::: (Japanese) myself, (American) waterfall, (Greek/Latin/me) lover of all living beings, (American) new Williams
Maro Quigley Philander Waterfall ::: (Japanese) myself, (Irish) maternal side, (Greek) lover of mankind, (American) waterfall
Maro Phoenix Hodgson Darwin ::: (Japanese) myself, (English) phoenix, (English) son of Roger, (English) dear friend
Maro Waterfall Yorick Hodgson ::: (Japanese) myself, (American) waterfall, (Scandinavian) a form of George, (English) son of Roger
Maro Quigley Fileas Hodgson ::: (Japanese) myself, (Irish) maternal side, (Greek) he who loves deeply, (English) son of Roger
Zoyamor Androcles Maro Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Japanese) myself, (French) merry lord; jailer
Reginald Yorick Philander Zoyamor ::: (English) king's advisor, (Scandinavian) a form of George, (Greek) lover of mankind, (Greek/Latin/me) lover of all living beings
Maro Emeterio Zoyamor Darwin ::: (Japanese) myself, (Greek) he who deserves affection, (Greek/Latin/me) lover of all living beings, (English) dear friend
Maro Fileas Zoyamor Blackburn ::: (Japanese) myself, (Greek) he who loves deeply, (Greek/Latin/me) lover of all living beings, (Scottish) black brook
Reginald Maro Bonito Darwin ::: (English) king's advisor, (Japanese) myself, (Latin) worthy, (English) dear friend
Reginald Androcles Quigley Zoyamor ::: (English) king's advisor, (Greek) man covered with glory, (Irish) maternal side, (Greek/Latin/me) lover of all living beings
Reginald Bonito Renatus Blackburn ::: (English) king's advisor, (Latin) worthy, (Italian) reborn, (Scottish) black brook
Reginald Androcles Wright Hodgson ::: (English) king's advisor, (Greek) man covered with glory, (English) maker, (English) son of Roger
Reginald Bonito Herodes Darwin ::: (English) king's advisor, (Latin) worthy, (Greek) the fire dragon, (English) dear friend
Reginald Percival Phoenix Darwin ::: (English) king's advisor, (French) pierce the valley, (English) phoenix, (English) dear friend
Maro Yorick Blackburn Wright ::: (Japanese) myself, (Scandinavian) a form of George, (Scottish) black brook, (English) maker
Zoyamor Maro Phoenix NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (English) phoenix, (American) new Williams
Reginald Zoyamor Renatus NeoWilliams ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Italian) reborn, (American) new Williams
Reginald Bonito Hodgson ::: (English) king's advisor, (Latin) worthy, (English) son of Roger
Reginald Philander Zoyamor Blackburn ::: (English) king's advisor, (Greek) lover of mankind, (Greek/Latin/me) lover of all living beings, (Scottish) black brook
Maro Herodes Yorick Darwin ::: (Japanese) myself, (Greek) the fire dragon, (Scandinavian) a form of George, (English) dear friend
Reginald Fileas Emeterio Wright ::: (English) king's advisor, (Greek) he who loves deeply, (Greek) he who deserves affection, (English) maker
Reginald Philander Felix Waterfall ::: (English) king's advisor, (Greek) lover of mankind, (Latin) fortunate; happy, (American) waterfall
Maro Reginald Herodes Wright ::: (Japanese) myself, (English) king's advisor, (Greek) the fire dragon, (English) maker
Zoyamor Quigley Maro Waterfall ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Japanese) myself, (American) waterfall
Maro Felix Bonito Blackburn ::: (Japanese) myself, (Latin) fortunate; happy, (Latin) worthy, (Scottish) black brook
Maro Quigley Androcles Darwin ::: (Japanese) myself, (Irish) maternal side, (Greek) man covered with glory, (English) dear friend
Maro Androcles Herodes NeoWilliams ::: (Japanese) myself, (Greek) man covered with glory, (Greek) the fire dragon, (American) new Williams
Maro Zoyamor Darwin ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (English) dear friend
Maro Waterfall Percival Zoyamor ::: (Japanese) myself, (American) waterfall, (French) pierce the valley, (Greek/Latin/me) lover of all living beings
Maro Quigley Androcles Zoyamor ::: (Japanese) myself, (Irish) maternal side, (Greek) man covered with glory, (Greek/Latin/me) lover of all living beings
Reginald Herodes Felix Zoyamor ::: (English) king's advisor, (Greek) the fire dragon, (Latin) fortunate; happy, (Greek/Latin/me) lover of all living beings
Reginald Yorick Herodes NeoWilliams ::: (English) king's advisor, (Scandinavian) a form of George, (Greek) the fire dragon, (American) new Williams
Maro Fileas Yorick Hodgson ::: (Japanese) myself, (Greek) he who loves deeply, (Scandinavian) a form of George, (English) son of Roger
Reginald Bonito Fileas Hodgson ::: (English) king's advisor, (Latin) worthy, (Greek) he who loves deeply, (English) son of Roger
Zoyamor Bonito NeoWilliams Darwin ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (American) new Williams, (English) dear friend
Reginald Bonito Darwin Hodgson ::: (English) king's advisor, (Latin) worthy, (English) dear friend, (English) son of Roger
Maro Percival Fileas Gaylord ::: (Japanese) myself, (French) pierce the valley, (Greek) he who loves deeply, (French) merry lord; jailer
Reginald Emeterio Blackburn ::: (English) king's advisor, (Greek) he who deserves affection, (Scottish) black brook
Maro Zoyamor Felix NeoWilliams ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (American) new Williams
Zoyamor Fileas Renatus NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Italian) reborn, (American) new Williams
Zoyamor Felix Emeterio Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Greek) he who deserves affection, (Scottish) black brook
Zoyamor Philander Emeterio Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Greek) he who deserves affection, (English) dear friend
Zoyamor Maro Quigley Waterfall ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Irish) maternal side, (American) waterfall
Maro Philander Reginald NeoWilliams ::: (Japanese) myself, (Greek) lover of mankind, (English) king's advisor, (American) new Williams
Reginald Emeterio Percival Hodgson ::: (English) king's advisor, (Greek) he who deserves affection, (French) pierce the valley, (English) son of Roger
Maro Emeterio Blackburn Gaylord ::: (Japanese) myself, (Greek) he who deserves affection, (Scottish) black brook, (French) merry lord; jailer
Zoyamor Quigley Renatus Hodgson ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Italian) reborn, (English) son of Roger
Maro Herodes Felix NeoWilliams ::: (Japanese) myself, (Greek) the fire dragon, (Latin) fortunate; happy, (American) new Williams
Reginald Emeterio Androcles Gaylord ::: (English) king's advisor, (Greek) he who deserves affection, (Greek) man covered with glory, (French) merry lord; jailer
Maro Androcles Reginald Blackburn ::: (Japanese) myself, (Greek) man covered with glory, (English) king's advisor, (Scottish) black brook
Reginald Renatus Quigley Blackburn ::: (English) king's advisor, (Italian) reborn, (Irish) maternal side, (Scottish) black brook
Maro Emeterio Felix Hodgson ::: (Japanese) myself, (Greek) he who deserves affection, (Latin) fortunate; happy, (English) son of Roger
Reginald Androcles Wright Blackburn ::: (English) king's advisor, (Greek) man covered with glory, (English) maker, (Scottish) black brook
Reginald Androcles Darwin ::: (English) king's advisor, (Greek) man covered with glory, (English) dear friend
Reginald Percival NeoWilliams Wright ::: (English) king's advisor, (French) pierce the valley, (American) new Williams, (English) maker
Maro Yorick Percival Hodgson ::: (Japanese) myself, (Scandinavian) a form of George, (French) pierce the valley, (English) son of Roger
Reginald Renatus Bonito NeoWilliams ::: (English) king's advisor, (Italian) reborn, (Latin) worthy, (American) new Williams
Maro Herodes Zoyamor Wright ::: (Japanese) myself, (Greek) the fire dragon, (Greek/Latin/me) lover of all living beings, (English) maker
Maro Zoyamor Blackburn Gaylord ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Scottish) black brook, (French) merry lord; jailer
Zoyamor Felix NeoWilliams Hodgson ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (American) new Williams, (English) son of Roger
Zoyamor Bonito Fileas Waterfall ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Greek) he who loves deeply, (American) waterfall
Maro Felix Blackburn Wright ::: (Japanese) myself, (Latin) fortunate; happy, (Scottish) black brook, (English) maker
Reginald Zoyamor Percival Wright ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (English) maker
Zoyamor Emeterio Yorick Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Scandinavian) a form of George, (English) dear friend
Zoyamor Quigley Herodes Wright ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Greek) the fire dragon, (English) maker
Reginald Zoyamor Bonito Hodgson ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Latin) worthy, (English) son of Roger
Zoyamor Androcles Bonito Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Latin) worthy, (French) merry lord; jailer
Zoyamor Emeterio Percival Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (French) pierce the valley, (Scottish) black brook
Maro Androcles Quigley Hodgson ::: (Japanese) myself, (Greek) man covered with glory, (Irish) maternal side, (English) son of Roger
Reginald Maro Waterfall Darwin ::: (English) king's advisor, (Japanese) myself, (American) waterfall, (English) dear friend
Reginald Renatus Fileas NeoWilliams ::: (English) king's advisor, (Italian) reborn, (Greek) he who loves deeply, (American) new Williams
Zoyamor Renatus Gaylord Wright ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (French) merry lord; jailer, (English) maker
Zoyamor Androcles Quigley Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Irish) maternal side, (French) merry lord; jailer
Maro Herodes Emeterio Waterfall ::: (Japanese) myself, (Greek) the fire dragon, (Greek) he who deserves affection, (American) waterfall
Reginald Androcles Emeterio Darwin ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who deserves affection, (English) dear friend
Zoyamor Percival Waterfall NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (American) waterfall, (American) new Williams
Zoyamor Yorick Maro Blackburn ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Japanese) myself, (Scottish) black brook
Reginald Emeterio Phoenix Hodgson ::: (English) king's advisor, (Greek) he who deserves affection, (English) phoenix, (English) son of Roger
Reginald Zoyamor Bonito Gaylord ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Latin) worthy, (French) merry lord; jailer
Maro Androcles Gaylord Blackburn ::: (Japanese) myself, (Greek) man covered with glory, (French) merry lord; jailer, (Scottish) black brook
Reginald Zoyamor Wright NeoWilliams ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (English) maker, (American) new Williams
Reginald Yorick Maro Waterfall ::: (English) king's advisor, (Scandinavian) a form of George, (Japanese) myself, (American) waterfall
Reginald Androcles Fileas Zoyamor ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (Greek/Latin/me) lover of all living beings
Zoyamor Felix Wright ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (English) maker
Reginald Renatus Androcles Gaylord ::: (English) king's advisor, (Italian) reborn, (Greek) man covered with glory, (French) merry lord; jailer
Maro Phoenix Percival Waterfall ::: (Japanese) myself, (English) phoenix, (French) pierce the valley, (American) waterfall
Maro Philander Waterfall Zoyamor ::: (Japanese) myself, (Greek) lover of mankind, (American) waterfall, (Greek/Latin/me) lover of all living beings
Maro Philander Percival Hodgson ::: (Japanese) myself, (Greek) lover of mankind, (French) pierce the valley, (English) son of Roger
Reginald Yorick Androcles Zoyamor ::: (English) king's advisor, (Scandinavian) a form of George, (Greek) man covered with glory, (Greek/Latin/me) lover of all living beings
Maro Percival Yorick Gaylord ::: (Japanese) myself, (French) pierce the valley, (Scandinavian) a form of George, (French) merry lord; jailer
Reginald Androcles Waterfall Darwin ::: (English) king's advisor, (Greek) man covered with glory, (American) waterfall, (English) dear friend
Zoyamor Percival Androcles Waterfall ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Greek) man covered with glory, (American) waterfall
Reginald Quigley Felix Darwin ::: (English) king's advisor, (Irish) maternal side, (Latin) fortunate; happy, (English) dear friend
Maro Phoenix Yorick Blackburn ::: (Japanese) myself, (English) phoenix, (Scandinavian) a form of George, (Scottish) black brook
Reginald Bonito Wright Hodgson ::: (English) king's advisor, (Latin) worthy, (English) maker, (English) son of Roger
Maro Emeterio Wright Hodgson ::: (Japanese) myself, (Greek) he who deserves affection, (English) maker, (English) son of Roger
Maro Renatus Hodgson Darwin ::: (Japanese) myself, (Italian) reborn, (English) son of Roger, (English) dear friend
Reginald Herodes Phoenix Waterfall ::: (English) king's advisor, (Greek) the fire dragon, (English) phoenix, (American) waterfall
Reginald Bonito Yorick Blackburn ::: (English) king's advisor, (Latin) worthy, (Scandinavian) a form of George, (Scottish) black brook
Maro Emeterio Phoenix Gaylord ::: (Japanese) myself, (Greek) he who deserves affection, (English) phoenix, (French) merry lord; jailer
Maro Yorick Reginald Zoyamor ::: (Japanese) myself, (Scandinavian) a form of George, (English) king's advisor, (Greek/Latin/me) lover of all living beings
Maro Herodes Percival Wright ::: (Japanese) myself, (Greek) the fire dragon, (French) pierce the valley, (English) maker
Maro Reginald Fileas Zoyamor ::: (Japanese) myself, (English) king's advisor, (Greek) he who loves deeply, (Greek/Latin/me) lover of all living beings
Reginald Percival Blackburn Darwin ::: (English) king's advisor, (French) pierce the valley, (Scottish) black brook, (English) dear friend
Reginald Felix Maro Wright ::: (English) king's advisor, (Latin) fortunate; happy, (Japanese) myself, (English) maker
Maro Waterfall Wright Gaylord ::: (Japanese) myself, (American) waterfall, (English) maker, (French) merry lord; jailer
Reginald Quigley Wright Darwin ::: (English) king's advisor, (Irish) maternal side, (English) maker, (English) dear friend
Reginald Waterfall Wright Hodgson ::: (English) king's advisor, (American) waterfall, (English) maker, (English) son of Roger
Reginald Felix Quigley Blackburn ::: (English) king's advisor, (Latin) fortunate; happy, (Irish) maternal side, (Scottish) black brook
Maro Zoyamor Quigley Wright ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (English) maker
Zoyamor Felix Herodes Waterfall ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Greek) the fire dragon, (American) waterfall
Zoyamor Renatus Quigley Gaylord ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Irish) maternal side, (French) merry lord; jailer
Reginald Phoenix NeoWilliams Blackburn ::: (English) king's advisor, (English) phoenix, (American) new Williams, (Scottish) black brook
Maro Fileas Yorick Zoyamor ::: (Japanese) myself, (Greek) he who loves deeply, (Scandinavian) a form of George, (Greek/Latin/me) lover of all living beings
Reginald Fileas Maro Zoyamor ::: (English) king's advisor, (Greek) he who loves deeply, (Japanese) myself, (Greek/Latin/me) lover of all living beings
Reginald Quigley Emeterio Blackburn ::: (English) king's advisor, (Irish) maternal side, (Greek) he who deserves affection, (Scottish) black brook
Maro Zoyamor Bonito Gaylord ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Latin) worthy, (French) merry lord; jailer
Zoyamor Fileas Percival Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (French) pierce the valley, (English) son of Roger
Zoyamor Reginald Percival Darwin ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (French) pierce the valley, (English) dear friend
Maro Philander Zoyamor Blackburn ::: (Japanese) myself, (Greek) lover of mankind, (Greek/Latin/me) lover of all living beings, (Scottish) black brook
Maro Renatus Phoenix NeoWilliams ::: (Japanese) myself, (Italian) reborn, (English) phoenix, (American) new Williams
Zoyamor Reginald Renatus Wright ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (Italian) reborn, (English) maker
